Cod.,Ativo,3. Idade,4. Genero,5. Regiao,6. Estado,7. Cidade,8. Religiao,Religiao_codificado(8),9. Vinculo,10. Nome_da_ONG,11. Nome_da_CEUA,CEUA_unificada(11),12. Instituicao,13. Departamento,14. Natureza_Inst,15. Representante_SPA,16. Quant_membros_CEUA,17. No_licencas_recusadas,18. No_consultores_adhoc,19. Freq_cursos,20. Outros_encontros,21. Metodo_decisao,22. Periodicidade_das_reunioes,23. SPA_assume_relatoria,24. Opiniao_SPA_deve_assumir_relatoria,25. Justifique_dever_assumir_relatoria_aberta,Justifique_dever_assumir_relatoria_codificado(25),26. SPA_deve_ter_formacao,27. Justifique_SPA_deve_ter_formacao_aberta,Justifique_SPA_deve_ter_formacao_aberta_codificado(27),28. Papel_na_CEUA,Papel_na_CEUA_codificado(28),29. Area_formacao_academica,Area_formacao_academica_unificado(29),30. Escolaridade,31. Area_em_que_usa_animais_lista,32. Funcao_administrativa_na_CEUA,Funcao_administrativa_na_CEUA_codificado(32),33. Tempo_de_CEUA,"tempo_de_CEUA_em_anos_avg(33,34)",34. Tempo_de_CEUA_acima_4_anos,35. Conhecimento_formal_em_etica_escala,36. Ensino_de_etica_na_sua_formação_escala,37. Ensino_de_bem-estar_animal_na_sua_formacao_escala,38. Disciplinas_cursadas_na_graduacao_lista,Disciplinas_cursadas_no_Mestrado_lista,Disciplinas_cursadas_no_Doutorado_lista,Disciplinas_cursadas_na_Especialização_lista,Disciplinas_cursadas_em_Curso_de_Extensão_lista,39. Aptidao_para_avaliacoes_eticas_escala,40. Aptidao_para_avaliacoes_de_bem-estar_animal_escala,41. Dificuldade_em_compreender_protocolos,42. Necessidade_de_uso_de_modelos_animais_escala,43. Necessidade_de_uso_de_animais_na_alimentacao_escala,44. Experimentacao_animal_e_um_mal_necessario,45. Justifique_experimentacao_animal_ser_mal_necessario_aberta,Justifique_experimentacao_animal_ser_mal_necessario_codificado(45),46. Experimentos_cientificos_implicam_sofrimento_animal_escala,47. Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_aberta,Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_codificada(47),48. Formas_aceitaveis_de_uso_de_animais_lista,49. Grau_de_sofrimento_dos_animais_escala,50. Vegano_ou_vegetariano_binario,"51. Termos_sobre_o_papel_dos_animais
_fechada",52. Termo_sobre_o_papel_dos_animais_aberta,53. Vontade_para_manifestar_posicionamento,54. Sente-se_discriminado_nas_reunioes,55. Suas_colocacoes_sao_respeitadas,56. Ha_resistencia_as_suas_propostas,57. Demais_membros_atribuem_o_mesmo_nivel_de_preocupacao,58. Sente-se_estressado_nas_reunioes,59. Receio_de_aceitar_ou_rejeitar_protocolo,60. Membros_tem_receio_de_rejeitar_protocolos,61. Ao_avaliar_projeto_de_membro_ele_deve_se_ausentar,62. Membros_que_pesquisam_com_modelos_animais_minimizam_o_sofrimento_deles,63. O_quanto_a_CEUA_se_baseia_no_principio_dos_3Rs_escala,64. Comentario_sobre_CEUAs
273,True,Entre 41 e 50 anos,Masculino,Sul,RS,Bagé,Espiritismo,4,Não,,CEUA,URCAMP,Urcamp,Urcamp,Privada,"Sim, apenas titular",Entre 15 e 19,20 ou mais,5,Constantemente,Constantemente,Votação e consenso,Uma vez por semana,Não,Não,Normalmente são pessoas de difícil convivência,1,Sim,Melhor entendimento das situações,1,Médico(a) Veterinário (a),5,Médico Veterinário,Veterinária,Doutorado,"Ensino, Pesquisas agropecuárias, Pesquisa básica, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,5,3,3,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa, Filosofia moral, Direitos dos animais",5,5,Frequentemente,5,5,Não,"Não precisa ser um ""mal""... pode-se fazer experimentação animal sem causar dano",1,1,Interpretação correta sobre o procedimento ao qual o animal vai ser submetido,2,"Produção de alimentos/agropecuária, Entretenimento (rodeio, vaquejada, corridas, etc), Pesquisa básica, Pesquisa aplicada, Ensino, Esportes, Pesquisas agropecuárias",1,Não,Parceiros de pesquisa,Parceiros de pesquisa,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Sim,Raramente,5,Acho uma necessária evolução
274,True,Entre 41 e 50 anos,Feminino,Sudeste,SP,São Paulo,Catolicismo,2,Não,,CEUA UNIP,UNIP,Universidade Paulista,Vice-reitoria de Pesquisa,Privada,"Sim, titular e suplente",Não sei dizer,Não sei dizer,Não sei dizer,Raramente,Raramente,Só consenso,Uma vez por mês,Sim,Sim,Para o mesmo ter uma percepção mais ampla dos trabalhos submetidos ao CEUA,5,Sim,A formação de nível superior é importante para melhor compreensão dos assuntos abordados de forma objetiva e cientifica,1,Pesquisador(a),7,Biomedicina,Biomedicina,Pós doutorado,Pesquisa básica,Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,5,5,4,"Bioética, Filosofia moral","Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa","Bem-estar animal, Etologia, Ética animal, Ética em pesquisa, Direitos dos animais",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,5,4,Sim,"Embora todos os ensaios são controlados para minimizar o sofrimento, os animais são submetidos a períodos de stress",3,1,Justificar a inexistência de técnicas alternativas que substituam o uso de animais  de experimentação,4,"Pesquisa básica, Pesquisa aplicada",2,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Raramente,Constantemente,Raramente,Nunca,Nunca,Sim,Raramente,5,
275,True,Entre 21 e 30 anos,Feminino,Sudeste,SP,Presidente Prudente,Espiritismo,4,Não,,Comitê de Ética de Uso de Animais,UNESP_FCAV,UNESP Campus de Dracena,UNESP Campus de Dracena,Pública,Não há representante da sociedade protetora de animais,Entre 10 e 14,0,2,Não sei dizer,Não sei dizer,Só consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Não,Acredito que o representante deva ter qualificação necessária para poder opinar em relatórios.,4,Sim,"É necessário formação adequada com a área para que possa entender os procedimentos e não causar transtornos quando analisar um relatório, sem fundamentos embasados em metodologias científicas.",1,Biólogo (a),1,"Mestre em Agronomia, doutoranda em Agronomia",Ciências Agrárias,Mestrado,Não uso animais,Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,4,5,4,"Bioética, Filosofia moral",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,4,4,Raramente,4,5,Não,Desde que haja outros métodos de testagem não é preciso o uso de animais.,5,2,Somente é necessária quando não há outro método de poder realizar as pesquisas.,3,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Pesquisa básica, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",2,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Não,Constantemente,4,
276,True,Entre 61 e 70 anos,Feminino,Sul,RS,Porto Alegre,Catolicismo,2,Não,,CEUA- UFRGS,UFRGS,UFRGS,Pro-Reitoria de Pesquisa UFRGS,Pública,Não sei dizer,20 ou mais,Não sei dizer,0,Raramente,Nunca,Votação e consenso,A cada quinze dias,Sim,Sim,Desde que tenha curso superior e competência para isso,3,Sim,"Porque alguns projetos de pesquisa são bastante complexos e há necessidade da an
álise crítica das etapas que os compõem para a liberação do uso dos animais e sem um conhecimento científico acho que fica difícil para o relator fazer isso.",1,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Graduação,"Ensino, Testes de drogas, Diagnóstico de doenças, Manutenção de invertebrados",analista/ relator projetos de pesquisa,2,De 2 anos a 2 anos e meio,2.25,,4,4,4,Etologia,Nenhuma dessas disciplinas,"Ética animal, Ética em pesquisa",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,4,4,Sim,"Por vezes, há necessidade de confrontar a ação de um medicamento sobre a fisiologia animal e não só em sua ação in vitro.",6,1,Verificar se não há outra forma de avaliação sem o uso de animais.,4,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa aplicada, Ensino",1,Não,Sujeitos de pesquisa,,4,Nunca,Constantemente,Raramente,Constantemente,Nunca,Nunca,Nunca,Sim,Raramente,5,
277,True,Entre 41 e 50 anos,Masculino,Sudeste,RJ,Campos dos Goytacazes,Sem religião,5,Não,,CEUA-IFFluminense,IFFLUMINENSE,IFFluminense,Institucional,Pública,Não há representante da sociedade protetora de animais,Entre 10 e 14,20 ou mais,20 ou mais,Raramente,Raramente,Votação e consenso,Uma vez por mês e quando há processos a serem analisados.,Não há representante da sociedade protetora de animais,Não tenho opinião sobre isso,"Depende de fatores como: capacidade de leitura do representante, nível de compreensão sobre conceitos relacionados a ciência, pesquisa, ética, ...",3,Não tenho opinião sobre isso,"Penso que sim, mas se já está difícil encontrar membros de SPA que queiram participar de CEUAS, ficará pior se houver tal exigência.",1,Docente,3,Zootecnia e biologia,Zootecnia; Ciências Biológicas,Doutorado,"Ensino, Pesquisas agropecuárias, Pesquisa aplicada",Vice-coordenador,4,Acima de 4 anos,7,7 anos,4,5,5,"Bem-estar animal, Filosofia moral",Bem-estar animal,Bem-estar animal,Não fiz essa modalidade acadêmica,"Bem-estar animal, Ética animal, Ética em pesquisa",5,5,Nunca,4,5,Sim,Ainda é. O comportamento de reações in vivo não é tão fácil de ser predita por modelagem. Vide cloroquina para humanos.,6,2,Uma boa revisão de literatura e uma boa justificativa sobre o impacto científico e social da pesquisa.,2,"Produção de alimentos/agropecuária, Testes de cosméticos e produtos de higiene pessoal, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",1,Não,Depende de como ele está envolvido na pesquisa.,Depende de como o animal está envolvido na pesquisa.,5,Raramente,Constantemente,Nunca,Constantemente,Raramente,Nunca,Não sei dizer,Sim,Raramente,5,"A CEUA frequentemente não recebe o devido valor por parte dos administradores das instituições públicas. Ela persiste por meio dos docentes e pesquisadores, ou seja, de baixo para cima."
278,True,Entre 41 e 50 anos,Feminino,Sudeste,SP,São Paulo,Espiritismo,4,Não,,Ecolyzer,ECOLYZER,Laboratórios Ecolyzer,Estudos Veterinários,Comercial,"Sim, apenas titular",Entre 10 e 14,Não sei dizer,Não sei dizer,Raramente,Raramente,Só votação,Uma vez por mês,Não sei dizer,Sim,"O representante irá avaliar o bem estar animal, então pode avaliar projetos.",4,Não,"Dependendo do estudo o membro precisará de um ad doc, além de uma boa redação e leitura, mas não necessariamente curso superior.",3,Membro relator,4,Química e Gestão da Qualidade,Ciências e Tecnologia; Gestão da Qualidade,Graduação,"Testes toxicológicos, Vacinas/imunologia, Diagnóstico de doenças, Pesquisa básica, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,6,6 anos,3,2,1,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,4,4,Raramente,3,4,Sim,Atualmente não possuímos métodos alternativos para todos os tipos de estudos. Muitos deles são necessários para avaliar produtos que a própria espécie irá utilizar futuramente.,6,1,"Quando não há outra alternativa, e o estudo deve ter como objetivo o mínimo de sofrimento para o animal, e também que o resultado seja de grandes benefícios.",3,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Pesquisas agropecuárias",1,Não,Participantes de pesquisa,,4,Raramente,Frequentemente,Não sei dizer,Frequentemente,Raramente,Raramente,Raramente,Sim,Constantemente,4,
279,True,Entre 41 e 50 anos,Masculino,Norte,PA,Capanema,Ateismo ou agnosticismo,1,Sim,Amacap,UFRA,UFRA,UFRA,UFRA,Pública,"Sim, titular e suplente",20 ou mais,Não sei dizer,Não sei dizer,Frequentemente,Não sei dizer,Votação e consenso,"Eu participava mais ativamente, mas estou em tratamento de depressão e tenho evitado participar de atividades geradoras de conflitos individuais",Sim,Sim,"Os julgamentos e pareceres são necessariamente impessoais, e isso é uma característica singular em nossa ceua",0,Não,os critérios de avaliação ética usando animais como modelos experimentais transcendem a academia,3,Docente,3,comportamento animal,Zoologia; Comportamento Animal,Pós doutorado,"Ensino, Pesquisa básica",Não ocupo nenhuma função administrativa,2,De 1 ano a 1 ano e meio,1.25,,5,5,5,"Ética em pesquisa, Filosofia moral","Bem-estar animal, Etologia, Ética animal, Ética em pesquisa, Direitos dos animais",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,3,Raramente,5,2,Não,Os modelos experimentais são mutáveis em conformidade com o advento tecnológico,2,0,uma melhor gestão da bioversidade,0,"Pesquisa básica, Pesquisa aplicada, Zoológico, Pesquisas agropecuárias",2,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Raramente,Constantemente,Raramente,Nunca,Raramente,Sim,Constantemente,4,
280,True,Entre 31 e 40 anos,Masculino,Sul,PR,Londrina,Sem religião,5,Não,,CEUA/IFPR,IFPR,Instituto Federal do Paraná,"Pró-reitora de Extensão, Pesquisa, Pós-Graduação e Inovação",Pública,Não há representante da sociedade protetora de animais,Entre 5 e 9,3,0,Raramente,Nunca,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Não tenho opinião sobre isso,"Penso que depende se o representante tem ou não formação (graduação) mínima, como é exigida dos demais membros.",3,Não,"Penso que não deve ser obrigatório que ele tenha, mas se não tiver talvez não possa assumir algumas funções.",1,Docente,3,Ciências Biológicas,Ciências Biológicas,Doutorado,"Ensino, Testes toxicológicos, Pesquisa básica, Pesquisa aplicada",Coordenador,1,Acima de 4 anos,3.5,"Na verdade pouco menos de 4 anos, mas não há essa opção",3,1,0,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,3,2,Frequentemente,3,4,Sim,"Ainda, em virtude do desenvolvimento da ciência, é uma mal necessário. Talvez possa se tornar desnecessário daqui a um tempo.",7,3,"Para os danos é importante que o protocolo siga à risca todas a legislação vigente e que garantem o não sofrimento dos animais, tais como os guias e as resoluções normativas do CONCEA. Para os benefícios, o mais importante na avaliação de um protocolo, é que este traga de maneira clara os benefícios e justifique que não há métodos alternativos.",7,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",1,Não,Objetos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Frequentemente,Raramente,Nunca,Sim,Frequentemente,3,
281,True,Entre 31 e 40 anos,Masculino,Nordeste,PI,Paulistana,Sem religião,5,Não,,CEUA IFPI,IFPI,Instituto Federal do Piauí,Departamento de ensino do IFPI Campus Paulistana,Pública,"Sim, titular e suplente",Entre 10 e 14,0,0,Nunca,Frequentemente,Só votação,Uma vez a cada dois meses,Não,Não,Eles não possuem formação técnica para tal,1,Não,"A finalidade das ONGs é somente proteger os animais, então não há necessidade de formação superior para isso.",3,Docente,3,Zootecnia,Zootecnia,Doutorado,"Ensino, Pesquisas agropecuárias",Vice-coordenador,4,Entre 6 meses e 1 ano,0.75,,2,2,4,"Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa, Filosofia moral",Etologia,Ética em pesquisa,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,3,5,Raramente,5,5,Não,"Apenas não concordo que a experimentação seja um ""mal"", é uma necessidade humana. Faz parte da evolução da conhecimento.",1,0,"Que um profissional capacitado e experiente para tal, avalie os projetos de pesquisa",1,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Pesquisa básica, Pesquisa aplicada, Ensino, Esportes, Pesquisas agropecuárias",0,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Frequentemente,Nunca,Nunca,Nunca,Sim,Não tenho opinião sobre isso,5,"Deve-se ampliar a participação de Zootecnistas dentro das CEUAs, uma vez que somente veterinários e biólogos avaliarem projetos relacionados a área de produção animal/ produção de produtos de origem animal torna as avaliações superficiais e muitas vezes equivocadas."
282,True,Entre 51 e 60 anos,Masculino,Sudeste,SP,Rio Claro,Ateismo ou agnosticismo,1,Não,,Não sei,UNESP_IB,UNESP,Instituto de Biciências,Pública,Não há representante da sociedade protetora de animais,Entre 10 e 14,0,20 ou mais,Nunca,Nunca,Parecer externo e avaliação do parecer pelos membros titulares,a cada 3 meses,Não há representante da sociedade protetora de animais,Sim,É um membro como qualquer outro.,6,Sim,Só assim poderá de fato avaliar adequadamente os projetos submetidos.,1,Docente,3,Veterinária,Veterinária,Livre docência,"Ensino, Pesquisa básica",Coordenador,1,Entre 1 ano e meio e 2 anos,1.75,,3,1,0,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,4,2,Sim,"Em algumas situações, não há substitutos adequados para o modelo animal.",6,4,O bom senso do pesquisador e do parecerista.,1,"Produção de alimentos/agropecuária, Pesquisa básica, Pesquisa aplicada, Zoológico",4,Sim,Objetos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Não,Frequentemente,4,"O CEUA de que participo tem assento para representante de Sociedade Protetora dos Animais, que são contatadas, mas nunca atendem ao chamado, ficando assim o CEUA sem este representante."
283,True,Entre 41 e 50 anos,Feminino,Sudeste,RJ,Rio de Janeiro,Espiritismo,4,Não,,CEUA-INCA,INCA,Instituto Nacional de Câncer José Alencar Gomes da Silva (INCA),INCA,Pública,Não há representante da sociedade protetora de animais,Entre 10 e 14,1,2,Nunca,Raramente,Votação e consenso,Uma vez a cada dois meses,Não há representante da sociedade protetora de animais,Sim,"Acredito que ele possa assumir relatoria, desde que disponha de meios para obter consulta de informações necessárias para avaliação básica de projetos, já que o representante pode não ser de área acadêmica/ pesquisa ou não possuir noções de bioética ou ciência de animais de laboratório.",3,Não,"A presença deste membro garante a participação da sociedade como um todo, logo tal exigência não deve existir.",5,Médico(a) Veterinário (a),5,"Mestrado em Pesquisa Biomédica; Doutorado em Bioética, Ética Aplicada e Saúde Coletiva em andamento",Biomedicina; Bioética,Mestrado,Gerencio biotério para uso de animais em experimentação,Coordenador,1,Acima de 4 anos,8,8 anos,4,3,3,"Bem-estar animal, Etologia, Filosofia moral","Bem-estar animal, Ética animal","Bioética, Ética em pesquisa, Filosofia moral, Direitos dos animais",Nenhuma dessas disciplinas,Bem-estar animal,4,4,Raramente,3,2,Sim,"Alguns protocolos, para os quais ainda não existem métodos substitutivos, infelizmente o uso de animais é ainda uma necessidade",5,3,"Conhecer a fundo o projeto de pesquisa (mérito científico, procedimentos etc.) e o modelo animal, entender sobre ética animal e bem-estar animal, ausência de conflitos de interesses para uma avaliação imparcial",1,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Pesquisas agropecuárias",2,Não,Sujeitos de pesquisa,,4,Nunca,Frequentemente,Raramente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Sim,Raramente,4,
284,True,Entre 31 e 40 anos,Feminino,Sudeste,RJ,Niterói,Catolicismo,2,Não,,CEUA UFF,UFF,Universidade Federal Fluminense,"Pró-reitoria de Pesquisa, Pós-Graduação e Inovação",Pública,"Sim, apenas titular",20 ou mais,5,0,Frequentemente,Raramente,Votação e consenso,Uma vez por mês,Não sei dizer,Não tenho opinião sobre isso,Não tenho opinião,0,Não tenho opinião sobre isso,Não tenho opinião formada sobre isso,0,Docente,3,Nutricionista,Nutrição,Pós doutorado,Pesquisa básica,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,4,4 anos,5,2,3,Ética em pesquisa,Ética em pesquisa,Ética em pesquisa,Nenhuma dessas disciplinas,Ética animal,5,5,Frequentemente,5,5,Não,A Experimentação animal é necessária para o desenvolvimento científico.,8,0,é possivel fazer experimentacão aninal sem sofrimento dos mesmos.,8,"Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas agropecuárias",3,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Não,Nunca,5,
285,True,Entre 41 e 50 anos,Feminino,Sul,RS,Porto Alegre,Sem religião,5,Não,,CEUA-HCPA,HCPA,Hospital de Clínicas de Porto Alegre,Centro de Pesquisa Experimental,Pública,"Sim, apenas titular",Entre 10 e 14,4,0,Raramente,Raramente,Votação e consenso,A cada quinze dias,Não,Não,O membro da sociedade protetora pode não apresentar condições técnicas para avaliar o projeto.,1,Não,"Não acho que o representante precisa ter, obrigatoriamente, nível superior, mas precisa concordar com o uso de animais em pesquisa, permitindo que o aspecto ético possa ser avaliado.",3,Médico(a) Veterinário (a),5,"Medicina veterinária,  anestesiologia",Veterinária; Farmacologia,Doutorado,"Pesquisa básica, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,4,3,3,Bioética,"Ética animal, Ética em pesquisa","Ética animal, Ética em pesquisa",Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,4,4,Frequentemente,5,5,Sim,"O uso de animais em pesquisa trouxe avanços marcantes no conhecimento e tratamento de inúmeras doenças. No entanto, como os animais são seres sencientes é imprescindível a criteriosa avaliação dos projetos e empenho intenso dos pesquisadores tanto na melhoria dos modelos animais quanto no desenvolvimento de métodos alternativos, visando reduzir o número de animais e/ou minimizar o seu impacto sobre o bem-estar.",7,3,O conhecimento da fisiologia e das características comportamentais das espécies trabalhadas.,1,"Produção de alimentos/agropecuária, Testes regulatórios de exposição a substâncias e materiais, Pesquisa básica, Pesquisa aplicada, Pesquisas agropecuárias",2,Não,Participantes de pesquisa,,4,Raramente,Frequentemente,Raramente,Frequentemente,Frequentemente,Raramente,Frequentemente,Sim,Frequentemente,5,Senti dificuldades em me adequar as opções de respostas do formulário.
286,True,Entre 51 e 60 anos,Feminino,Sudeste,MG,Diamantina,Catolicismo,2,Não,,Ceua UFVJM - Campus JK,UFVJM,Universidade Federal dos Vales Jequitinhonha e Mucuri,Pró-reitoria de pesquisa e pós-graduação,Pública,"Sim, titular e suplente",20 ou mais,Não sei dizer,Não sei dizer,Raramente,Raramente,Votação e consenso,A cada quinze dias,Sim,Não,"No caso da Ceua/UFVJM, o representante da SPA tem curso superior (área biológica), mas e se ele não tivesse formação alguma? Como iria avaliar uma metodologia científica usando animais, para se atingir um determinado objetivo?",3,Sim,"Como iria avaliar uma metodologia científica usando animais, para se atingir um determinado objetivo?",1,Docente,3,Ciências Agrárias/Zootecnia,Ciências Agrárias; Zootecnia,Doutorado,"Ensino, Diagnóstico de doenças, Pesquisas agropecuárias",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,5,Cinco anos,3,2,0,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,"Bem-estar animal, Etologia, Ética animal",3,3,Raramente,3,5,Sim,Nem todas as pesquisas podem ser realizadas em modelos.,6,3,"Clareza dos objetivos da pesquisa, clareza da metodologia usada e relevância dos resultados.",2,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Pesquisa aplicada, Ensino, Vestuário, Pesquisas agropecuárias",3,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Não sei dizer,Raramente,Nunca,Nunca,Sim,Não tenho opinião sobre isso,4,
287,True,Entre 41 e 50 anos,Feminino,Norte,PA,Belém,Espiritismo,4,Não,,Comissão de Ética em Pesquisa no uso de Animais  do Instituto Evandro Chagas,IEC,Instituto Evandro Chagas (IEC),Diretoria do IEC,Pública,"Sim, titular e suplente",Entre 15 e 19,Não sei dizer,Não sei dizer,Raramente,Raramente,Só consenso,Uma vez por mês,Não,Não,Acredito que todo relator deva ser conhecedor dos aspectos técnicos e ser imparcial.,1,Sim,Precisam para ter melhor entendimento e imparcialidade sobre o tema.,1,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Mestrado,Pesquisa básica,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,6,6 anos,4,2,2,"Bem-estar animal, Ética animal",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,4,4,Sim,Algumas pesquisas precisam da observação e resultados in vivo,5,4,"Conscientização, conhecimento da espécie e da técnica, e experiência da equipe.",1,"Produção de alimentos/agropecuária, Pesquisa básica, Pesquisa aplicada, Ensino",2,Não,Participantes de pesquisa,,4,Raramente,Frequentemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Sim,Nunca,4,
288,True,Entre 51 e 60 anos,Feminino,Norte,RO,Colorado do oeste,Catolicismo,2,Não,,CEUA do IFRO,IFRO,IFRO,IFRO Campus Colorado do Oeste,Pública,"Sim, apenas titular",Entre 5 e 9,0,0,Raramente,Frequentemente,Votação e consenso,Ordinárias a cada dois meses e extraordinária quando precisa,Não há representante da sociedade protetora de animais,Não,Depende da formação dele,3,Sim,Conhecimento técnico mínimo,1,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Mestrado,Ensino,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,6,6anos,5,4,4,"Bem-estar animal, Bioética",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Ética em pesquisa, Filosofia moral","Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa, Filosofia moral, Direitos dos animais",5,4,Raramente,3,5,Não,"Acredito que não é um mal, desde q usada corretamente/eticamente",1,1,Conhecimento e ética,1,"Produção de alimentos/agropecuária, Entretenimento (rodeio, vaquejada, corridas, etc), Pesquisa aplicada, Pesquisas agropecuárias",1,Não,Participantes de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Não,Nunca,4,
289,True,Entre 31 e 40 anos,Feminino,Sudeste,SP,Tupã,Catolicismo,2,Não,,STERILEBVITA AMBIENTAL,STERILEBVITA,STERILE VITA,CLINVET,,Não sei dizer,Não sei dizer,Não sei dizer,Não sei dizer,Nunca,Não sei dizer,Não sei dizer,Não sei dizer,Não sei dizer,Não tenho opinião sobre isso,NÃO SEI DIZER,0,Não tenho opinião sobre isso,NÃO SEI DIZER,0,Médico(a) Veterinário (a),5,VETERINARIO,Veterinária,Graduação,"Vacinas/imunologia, Diagnóstico de doenças",Não ocupo nenhuma função administrativa,2,Entre 1 ano e meio e 2 anos,1.75,,4,4,4,"Bem-estar animal, Ética animal, Filosofia moral, Direitos dos animais",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Ética animal,Nenhuma dessas disciplinas,4,4,Não sei dizer,2,3,Não sei dizer,NAO SEI DIZER,0,2,NAO SEI DIZER,0,Não tenho opinião sobre isso,2,Não,Não sei dizer,,3,Não sei dizer,Não sei dizer,Não sei dizer,Não sei dizer,Não sei dizer,Não sei dizer,Não sei dizer,Não tenho opinião sobre isso,Não tenho opinião sobre isso,2,NAO SEI DIZER
